"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mScience\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m2,3,4,5,6\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m2,3,4,5,6\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mHistory\u001b[0m; subcategories: \u001b[92mAmerican History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mbonus\u001b[0m; categories: \u001b[92mScience,Philosophy,Social Science,History\u001b[0m; subcategories: \u001b[92mBiology,Chemistry,Physics,Math,Other Science,Philosophy,Social Science,American History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science\u001b[0m; subcategories: \u001b[92mClassical Literature,Ancient History,Biology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science\u001b[0m; subcategories: \u001b[92mClassical Literature,Ancient History,Biology\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m2,3,4,5,6\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature\u001b[0m; subcategories: \u001b[92mWorld Literature,European Literature\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m4,5\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mHistory\u001b[0m; subcategories: \u001b[92mAmerican History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2,3,4,5,6,7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography,History\u001b[0m; subcategories: \u001b[92mGeography,American History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography,History\u001b[0m; subcategories: \u001b[92mGeography,American History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mGeography,History\u001b[0m; subcategories: \u001b[92mGeography,American History,Ancient History,European History,World History,Other History\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m7,8,9,10\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Social Science,Current Events,Philosophy,Geography,Other Academic\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1,2\u001b[0m; number: \u001b[92m1\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
"[DATABASE] RANDOM QUESTIONS: difficulties: \u001b[92m1\u001b[0m; number: \u001b[92m20\u001b[0m; question type: \u001b[92mtossup\u001b[0m; categories: \u001b[92mLiterature,History,Science,Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m; subcategories: \u001b[92mAmerican Literature,British Literature,Classical Literature,European Literature,World Literature,Other Literature,American History,Ancient History,European History,World History,Other History,Biology,Chemistry,Physics,Math,Other Science,Visual Fine Arts,Auditory Fine Arts,Other Fine Arts,Religion,Mythology,Philosophy,Social Science,Current Events,Geography,Other Academic,Trash\u001b[0m;",
